id_votacao,data,descricao,deputado_id,deputado_nome,partidoSigla,uf,voto
2204088-88,2024-09-09,,220610,Dr. Fernando Máximo,UNIÃO,RO,Sim
2204088-88,2024-09-09,,160161,Marcelo Queiroz,PP,RJ,Sim
2204088-88,2024-09-09,,160559,Alceu Moreira,MDB,RS,Sim
2204088-88,2024-09-09,,220618,Sargento Portugal,PODE,RJ,Sim
2204088-88,2024-09-09,,229432,Luiz Fernando Vampiro,MDB,SC,Sim
2204088-88,2024-09-09,,160517,Paulo Folletto,PSB,ES,Sim
2204088-88,2024-09-09,,198783,Emanuel Pinheiro Neto,MDB,MT,Sim
2204088-88,2024-09-09,,220600,Lebrão,UNIÃO,RO,Sim
2204088-88,2024-09-09,,220632,Ana Pimentel,PT,MG,Sim
2204088-88,2024-09-09,,204427,Fernando Rodolfo,PL,PE,Sim
2204088-88,2024-09-09,,226837,Saulo Pedroso,PSD,SP,Sim
2204088-88,2024-09-09,,204453,Natália Bonavides,PT,RN,Sim
2204088-88,2024-09-09,,204515,André Janones,AVANTE,MG,Sim
2204088-88,2024-09-09,,220584,Murilo Galdino,REPUBLICANOS,PB,Sim
2204088-88,2024-09-09,,215043,Josivaldo JP,PSD,MA,Sim
2204088-88,2024-09-09,,220658,Luiz Gastão,PSD,CE,Sim
2204088-88,2024-09-09,,220540,Duda Ramos,MDB,RR,Sim
2204088-88,2024-09-09,,74646,Aécio Neves,PSDB,MG,Sim
2204088-88,2024-09-09,,178992,Vitor Lippi,PSDB,SP,Sim
2204088-88,2024-09-09,,122195,Leonardo Gadelha,PODE,PB,Sim
2204088-88,2024-09-09,,204419,Glaustin da Fokus,PODE,GO,Abstenção
2204088-88,2024-09-09,,220623,Duda Salabert,PDT,MG,Sim
2204088-88,2024-09-09,,141459,João Maia,PP,RN,Sim
2204088-88,2024-09-09,,220697,Jadyel Alencar,REPUBLICANOS,PI,Sim
2204088-88,2024-09-09,,171617,Paulão,PT,AL,Sim
2204088-88,2024-09-09,,62881,Danilo Forte,UNIÃO,CE,Sim
2204088-88,2024-09-09,,74158,Mário Heringer,PDT,MG,Sim
